Company,Website,Phone,City,State,Territory,LinkedIn,Natoli_Fit,Industry,Re_Engagement_Focus
"NOVARTIS TECHNICAL OPERATIONS-PLATFORM SOLIDS EURO","https://www.novartis.com","1-888-669-6682","East Hanover","NJ","Northeast","https://www.linkedin.com/company/novartis/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NOVARTIS-RUSSIA","https://www.novartis.ru","+7 495 640 40 00","Moscow","","International","https://www.linkedin.com/company/novartis/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NOVEN PHARMACEUTICALS, INC.","https://www.noven.com","305-556-9000","Miami","FL","Southeast","https://www.linkedin.com/company/noven-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NOVO NORDISK A/S","https://www.novonordisk.com","+45 4444 8888","BagsvÃ¦rd","","International","https://www.linkedin.com/company/novo-nordisk","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NOVUGEN PHARMA SDN. BHD.","http://www.novugen.com","-14987","Petaling Jaya","Selangor","International","https://www.linkedin.com/company/novugen-pharma-sdn-bhd","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NOVUS INTERNATIONAL, INC.","https://www.novusint.com","636-449-5000","Saint Charles","MO","Midwest","https://www.linkedin.com/company/novus-international","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUCITEC, S.A. DE C.V.","http://www.nucitec.com.mx","55-1234-5678","Mexico City","DF","International","https://www.linkedin.com/company/nucitec","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NULAB INC.","http://www.nulab.com","123-456-7890","City of Industry","CA","West","https://www.linkedin.com/company/nulab-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NULLO, INC.","http://www.nullo.com","345-678-9012","Chicago","IL","Midwest","https://www.linkedin.com/company/nullo","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NURIX THERAPEUTICS INC","http://www.nurix.com","415-814-1000","San Francisco","CA","West","https://www.linkedin.com/company/nurix-therapeutics","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRA NORTH","https://www.nutranorth.com","800-123-4567","Toronto","ON","Canada","https://www.linkedin.com/company/nutra-north","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRA RESEARCH S.L.","https://www.nutraresearch.com","34-123-456-789","Madrid","MD","Northeast","https://www.linkedin.com/company/nutra-research","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRACEUTIX, INC. - WA","http://www.nutraceutix.com","360-456-1234","Federal Way","WA","West","https://www.linkedin.com/company/nutraceutix","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRALAB CANADA LTD.","http://www.nutralab.com","416-123-4567","Toronto","ON","Canada","https://www.linkedin.com/company/nutralab-canada-ltd","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRALIFE-INC.","http://www.nutralife.com","800-555-0199","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/nutralife-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRAMAX LABORATORIES INC.","https://www.nutramaxlabs.com","800-368-4298","Lancaster","SC","Southeast","https://www.linkedin.com/company/nutramax-laboratories","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRAPHARM S.A.","http://www.nutrapharm.com","123-456-7890","San Juan","PR","Puerto Rico","https://www.linkedin.com/company/nutrapharm","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRATEC CORPORATION","http://www.nutratec.com","456-789-0123","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/nutratec","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRICAP LABS","https://www.nutricaplabs.com","800-555-4321","Hauppauge","NY","Northeast","https://www.linkedin.com/company/nutricap-labs","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRICORP INTERNATIONAL","http://www.nutricorp.com","800-555-0199","Miami","FL","Southeast","https://www.linkedin.com/company/nutricorp-international","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRISEN LABS","http://www.nutrisenlabs.com","888-555-0123","Los Angeles","CA","West","https://www.linkedin.com/company/nutrisen-labs","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUTRITION & BIOSCIENCES USA 1, LLC","http://www.nutritionbiosciences.com","844-555-0180","Newark","DE","Northeast","https://www.linkedin.com/company/nutrition-biosciences-usa-1-llc","Both","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"NUTRITION GROUP","https://www.nutritiongroup.com","345-678-9012","Chicago","IL","Midwest","https://www.linkedin.com/company/nutritiongroup","Both","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"NUTRO PAC","http://www.nutropac.com","800-123-4567","Cleveland","OH","Midwest","https://www.linkedin.com/company/nutropac","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"NUVALENT","http://www.nuvalent.com","617-123-4567","Cambridge","MA","Northeast","https://www.linkedin.com/company/nuvalent","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OCEAN NUTRITION CANADA, LTD.","http://www.oceannutrition.com","902-123-4567","Dartmouth","NS","Canada","https://www.linkedin.com/company/ocean-nutrition-canada-ltd","Scientific","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"OERLIKON BALZER","https://www.oerlikon.com/balzers","800-123-4567","Pittsburgh","PA","Northeast","https://www.linkedin.com/company/oerlikon-balzers","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OFF. MECC. F.LLI RONCHI S.R.L.","http://www.ronchi.com","39-0522-273-111","Reggio Emilia","EM","International","https://www.linkedin.com/company/ronchi/","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OHARA TECHNOLOGIES INC.","http://www.oharatech.com","856-767-2000","Sicklerville","NJ","Northeast","https://www.linkedin.com/company/ohara-technologies-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OHIO STATE UNIVERSITY","http://www.osu.edu","614-292-6181","Columbus","OH","Midwest","https://www.linkedin.com/school/the-ohio-state-university","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OHKURA SEIKA LTD.","http://www.ohkura.co.jp","-8487","Tokyo","XX","International","https://www.linkedin.com/company/ohkura-seika-ltd","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OLIMP LABORATORIES SP. Z O.O.","http://www.olimp-labs.com","xxx-xxx-xxxx","WrocÅ‚aw","Lower Silesian Voivodeship","International","https://www.linkedin.com/company/olimp-laboratories","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OLIN CHEMICAL (R & D) - CT","http://www.olin.com","xxx-xxx-xxxx","Cheshire","CT","Northeast","https://www.linkedin.com/company/olin-corporation","Scientific","Chemicals","Look for: Catalyst pellet production, powder compaction operations"
"OM PHARMA","https://www.ompharma.com","41-21-555-1234","Geneva","GE","International","https://www.linkedin.com/company/om-pharma/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OMERTA LABS","https://omertalabs.com","xxx-xxx-xxxx","San Diego","CA","West","https://www.linkedin.com/company/omerta-labs","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OMNICARE PHARMACEUTICS, INC.","http://www.omnicarepharma.com","xxx-xxx-xxxx","Cincinnati","OH","Midwest","https://www.linkedin.com/company/omnicare-pharmaceutics","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ONE PHARMA INDUSTRIAL S.A.","http://www.onepharma.com","xxx-xxx-xxxx","San Juan","PR","Puerto Rico","https://www.linkedin.com/company/one-pharma-industrial","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OPALIA PHARMA","https://www.opaliapharma.com","","","","International","","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OPEN BOOK EXTRACTS","https://www.openbookextracts.com","844-632-0008","Pittsboro","NC","Southeast","https://www.linkedin.com/company/open-book-extracts","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OPTIMA KOREA","http://www.optima-packaging.com","unknown","unknown","unknown","International","unknown","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORACEUTICAL LLC","http://www.oraceutical.com","222-222-2222","Miami","FL","Southeast","https://www.linkedin.com/company/oraceutical","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORAGENICS","https://www.oragenics.com","352-333-1700","Alachua","FL","Southeast","https://www.linkedin.com/company/oragenics","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORCHID HEALTHCARE UNIT II","http://www.orchidhealthcare.com","800-555-0123","Huntington Beach","CA","West","https://www.linkedin.com/company/orchid-healthcare/","Scientific","CBD/Cannabis","Look for: Pressed tablets, in-house production, state license"
"OREGON'S WILD HARVEST","https://www.oregonswildharvest.com","503-873-2022","Stayton","OR","West","https://www.linkedin.com/company/oregons-wild-harvest","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORGANA BRANDS","https://www.organabrands.com","720-575-2000","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/organabrands","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORGANA LABS, LLC","https://www.organabio.com","720-399-9999","Denver","CO","Rocky Mountain","https://www.linkedin.com/company/organa-labs-llc/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORGANIC REMEDIES INC","https://www.organicremedies.com","xxx-xxx-xxxx","Harrisburg","PA","Northeast","https://www.linkedin.com/company/organic-remedies-inc/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORGANON","https://www.organon.com","1-877-673-6463","Holly Springs","NC","Southeast","https://www.linkedin.com/company/organon/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORIC PHARMACEUTICALS","https://www.oricpharma.com","650-600-1930","San Francisco","CA","West","https://www.linkedin.com/company/oric-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORIFARM MANUFACTURING POLAND SP. Z O.O.","https://www.orifarm.com","","WrocÅ‚aw","Lower Silesian Voivodeship","International","","Engineering","CDMO","Look for: Tablet capacity utilization, tooling wear patterns, new client wins"
"ORION PHARMA","https://www.orionpharma.com","888-674-6660","Huntington Beach","CA","West","https://www.linkedin.com/company/orion-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORLANDI INC","https://www.orlandiinc.com","630-629-2000","Addison","IL","Midwest","https://www.linkedin.com/company/orlandi-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ORTHO PHARMACEUTICAL - NJ","https://www.orthopharm.com","973-541-8000","Raritan","NJ","Northeast","https://www.linkedin.com/company/ortho-pharmaceutical-corporation/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OSMOTICA PHARMACEUTICAL ARGENTINA","http://www.osmotica.com","xxx-xxx-xxxx","Buenos Aires","AR","Southeast","https://www.linkedin.com/company/osmotica-pharmaceuticals/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OTSUKA AMERICA PHARMACEUTICAL","http://www.otsuka-us.com","973-290-6000","Princeton","NJ","Northeast","https://www.linkedin.com/company/otsuka-america-pharmaceuticals-inc/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OTSUKA PHARMACEUTICAL CO, LTD","http://www.otsuka.com","03-6361-7000","Tokyo","Tokyo","International","https://www.linkedin.com/company/otsuka-pharmaceutical-co-ltd/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OUTCO","http://www.outco.com","555-123-4567","Los Angeles","CA","West","https://www.linkedin.com/company/outco","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"OXYTABS GMBH","http://www.oxytabs.com","xxx-xxx-xxxx","Berlin","XX","International","https://www.linkedin.com/company/oxytabs-gmbh/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P & C LABS","http://www.pclabs.com","xxx-xxx-xxxx","San Diego","CA","West","https://www.linkedin.com/company/p-c-labs/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P&G GILLETTE","https://www.pg.com/en_US/gillette","513-983-1100","Cincinnati","OH","Midwest","https://www.linkedin.com/company/gillette","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P&G PHARMACEUTICALS PR, LLC","https://www.pg.com/en_US/pharmaceuticals","787-273-2000","San Juan","PR","Puerto Rico","https://www.linkedin.com/company/procter-and-gamble","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P.C.C.A.","https://www.pcca.com","800-331-2498","Houston","TX","Southeast","https://www.linkedin.com/company/pcca","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P.F.M. ITALIA SRL","http://www.pfmitalia.com","+39 02 960 16 01","Milano","MI","Midwest","https://www.linkedin.com/company/pfm-italia-srl/","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P.T. HOECHST PHARMA-INDONESIA","http://www.hoechst.com","021-98765432","Jakarta","DKI Jakarta","International","https://www.linkedin.com/company/hoechst-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P.T. SMITHKLINE BEECHAM","http://www.gsk.com","021-34567890","Jakarta","DKI Jakarta","International","https://www.linkedin.com/company/gsk","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"P.T.L. MFG.","http://www.ptlmfg.com","800-123-4567","Los Angeles","CA","West","https://www.linkedin.com/company/ptlmfg","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PACIFIC NUTRITIONAL, INC.","http://www.pacificnutritional.com","xxx-xxx-xxxx","Burlingame","CA","West","https://www.linkedin.com/company/pacific-nutritional-inc","Scientific","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"PACIFIC PHARMACEUTICALS","http://www.pacificpharmaceuticals.com","xxx-xxx-xxxx","San Diego","CA","West","https://www.linkedin.com/company/pacific-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PALA-TECH LABORATORIES","http://www.palatech.com","856-303-2000","Cinnaminson","NJ","Northeast","https://www.linkedin.com/company/pala-tech-laboratories","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PALLA PHARMA NORWAY A.S.","https://www.pallapharma.com","+47 32 24 10 00","HÃ¸nefoss","NO","International","https://www.linkedin.com/company/palla-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PANACEA LIFE SCIENCES","http://www.panacealifesciences.com","888-555-0199","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/panacea-life-sciences","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PANAXIA PHARMACEUTICAL INDUSTRIES ISRAEL LTD","https://www.panaxia.co.il/","-9589","Ramat Gan","IL","Midwest","https://www.linkedin.com/company/panaxia-pharmaceutical-industries/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PARAGON MEDICAL - MANSFIELD","http://www.paragonmedical.com","419-524-2000","Mansfield","OH","Midwest","https://www.linkedin.com/company/paragon-medical","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PARALLEL","http://www.parallel.co","844-123-4567","San Diego","CA","West","https://www.linkedin.com/company/parallel","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PARLE GLOBAL TECHNOLOGIES PVT. LTD.","http://www.parleglobal.com","91-22-2761-1100","Mumbai","MH","International","https://www.linkedin.com/company/parle-global-technologies-pvt-ltd/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PARTNERSHIP P/M CORP.","http://www.partnershippm.com","888-123-4567","Newark","NJ","Northeast","https://www.linkedin.com/company/partnership-pm-corp","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PATCH AND PROCESS INC.","http://www.patchandprocess.com","800-555-0199","Chicago","IL","Midwest","https://www.linkedin.com/company/patch-and-process-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PATHEON YM INC.","http://www.patheon.com","888-123-4567","Durham","NC","Southeast","https://www.linkedin.com/company/patheon","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PAULAUR CORPORATION","http://www.paulaur.com","888-555-0177","Hauppauge","NY","Northeast","https://www.linkedin.com/company/paulaur-corporation","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PBT INTERNATIONAL, LTD","https://www.pbtinternational.com","603-647-1500","Manchester","NH","Northeast","https://www.linkedin.com/company/pbt-international-ltd/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PD-RX PHARMACEUTICALS, INC.","http://www.pdrx.com","888-732-7930","Henderson","NV","West","https://www.linkedin.com/company/pd-rx-pharmaceuticals-inc/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PELLECOME LLC","https://www.pellecome.com","555-555-5555","Harrisonburg","VA","Southeast","https://www.linkedin.com/company/pellecome","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PENN UNITED TECHNOLOGIES, INC.","https://www.pennunited.com","724-537-2000","Export","PA","Northeast","https://www.linkedin.com/company/penn-united-technologies","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PENNWALT CORPORATION","http://www.pennwalt.com","610-825-1000","King of Prussia","PA","Northeast","https://www.linkedin.com/company/pennwalt-corporation","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PENTA PHARMA","http://www.pentapharma.com","888-123-4567","Philadelphia","PA","Northeast","https://www.linkedin.com/company/penta-pharma","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PERFECTLY NATURAL HERBS, LLC","http://www.perfectlynaturalherbs.com","888-555-1234","Los Angeles","CA","West","https://www.linkedin.com/company/perfectly-natural-herbs","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PERFORMANCE PACKAGING","http://www.performancepackaging.com","800-555-7890","Atlanta","GA","Southeast","https://www.linkedin.com/company/performance-packaging","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PERFORMANCE PRODUCTS","http://www.performanceproducts.com","800-555-0199","San Diego","CA","West","https://www.linkedin.com/company/performance-products","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PERRIGO ANIMAL HEALTH","https://www.perrigo.com","800-555-0177","Allegan","MI","Midwest","https://www.linkedin.com/company/perrigo","Both","Veterinary","Look for: Pet supplement tablets, chewable production lines"
"PERRY VIDEX, LLC","https://www.perryvidex.com","856-767-7500","Pennsauken","NJ","Northeast","https://www.linkedin.com/company/perry-videx-llc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PF CX HEALTHCARE CANADA ULC","https://www.pfizer.ca","-5489","Toronto","ON","Canada","https://www.linkedin.com/company/pf-cx-healthcare-canada-ulc","Scientific","CBD/Cannabis","Look for: Pressed tablets, in-house production, state license"
"Pfizer Australia Pty. Ltd.","https://www.pfizer.com.au","1800-675-229","Sydney","NSW","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER CHILE S.A.","https://www.pfizer.cl","56-2-2584-7000","Santiago","CL","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER DENMARK","https://www.pfizer.dk","45-70-20-70-70","Copenhagen","DK","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER IRELAND PHARMACEUTICALS","https://www.pfizer.ie","-3051","Dublin","Dublin","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER ITALIA SRL","https://www.pfizer.it","-275","Milano","Lombardy","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER LABORATORIES (PTY) LTD.-S.Africa","https://www.pfizer.co.za","-6654","Sandton","Gauteng","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER MANUFACTURING DEUTSCHLAND GMBH","https://www.pfizer.de","49-0-800-112-0000","Kalamazoo","MI","Midwest","https://www.linkedin.com/company/pfizer","Engineering","CDMO","Look for: Tablet capacity utilization, tooling wear patterns, new client wins"
"PFIZER S.R.L.","https://www.pfizer.com.ar","+54 11 4000-8000","Buenos Aires","CABA","International","https://www.linkedin.com/company/pfizer","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PFIZER, S.A. DE C.V.","https://www.pfizer.com.mx","55-5259-6000","Mexico City","DF","International","https://www.linkedin.com/company/pfizer-mexico","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARCON INC","http://www.pharcon.com","xxx-xxx-xxxx","West Chester","PA","Northeast","https://www.linkedin.com/company/pharcon-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARLAB INDÃšSTRIA FARMACEUTICA","http://www.pharlab.com.br","55-11-1234-5678","SÃ£o Paulo","SP","International","https://www.linkedin.com/company/pharlab","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARM D SOLUTIONS, LLC.","http://www.pharmdsolutions.com","123-456-7890","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/pharmdsolutions","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARM EVO","http://www.pharmevo.com","987-654-3210","Cleveland","OH","Midwest","https://www.linkedin.com/company/pharmevo","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARM OPS, INC.","http://www.pharmops.com","555-123-4567","San Diego","CA","West","https://www.linkedin.com/company/pharmops","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARM-TECH INC.","http://www.pharmtech.com","800-555-0199","Harrison","NY","Northeast","https://www.linkedin.com/company/pharm-tech-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA INVEST PRODUCTION S.P.A.","http://www.pharmainvest.com","+39 02 1234567","Milan","XX","International","https://www.linkedin.com/company/pharma-invest-production","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA LABS","http://www.pharmalabs.com","123-456-7890","Los Angeles","CA","West","https://www.linkedin.com/company/pharmalabs","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA MACHINES LTD.","http://www.pharmamachines.com","234-567-8901","Toronto","ON","Canada","https://www.linkedin.com/company/pharmamachinesltd","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA MONDIAL LTD.","http://www.pharmamondial.com","567-890-1234","London","ENG","International","https://www.linkedin.com/company/pharmamondial","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA NATURAL, INC.","http://www.pharmanatural.com","800-123-4567","San Diego","CA","West","https://www.linkedin.com/company/pharma-natural-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA PACKAGING SOLUTIONS INC","http://www.pharmapackagingsolutions.com","444-444-4444","Chicago","IL","Midwest","https://www.linkedin.com/company/pharma-packaging-solutions-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA SPRAY DRYING","http://www.pharmaspraydrying.com","123-456-7890","Cincinnati","OH","Midwest","https://www.linkedin.com/company/pharma-spray-drying","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA TOOLING","http://www.pharmatooling.com","567-890-1234","Dallas","TX","Southeast","https://www.linkedin.com/company/pharma-tooling","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA-Q","http://www.pharma-q.com","44-20-1234-5678","London","XX","International","https://www.linkedin.com/company/pharma-q","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMA-WORKS PTE LTD","http://www.pharma-works.com","65-1234-5678","Singapore","XX","International","https://www.linkedin.com/company/pharma-works","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACARE PREMIUM LTD.","http://www.pharmacarepremium.com","123-456-7890","Los Angeles","CA","West","https://www.linkedin.com/company/pharmacare-premium-ltd","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACENTER, CORP.","http://www.pharmacenter.com","234-567-8901","Miami","FL","Southeast","https://www.linkedin.com/company/pharmacenter-corp","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACEUTICAL CONSULTANT","http://www.pharmaceuticalconsultant.com","345-678-9012","Chicago","IL","Midwest","https://www.linkedin.com/company/pharmaceutical-consultant","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACEUTICAL DEVELOPMENT CTR","http://www.pharmaceuticaldevelopment.com","123-456-7890","San Diego","CA","West","https://www.linkedin.com/company/pharmaceutical-development-ctr","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACEUTICAL TECHNOLOGIES INTERNATIONAL, INC.","http://www.pharmatech.com","345-678-9012","Chicago","IL","Midwest","https://www.linkedin.com/company/pharmaceutical-technologies-international","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACIA KOREA LIMITED","http://www.pharmacia.co.kr","82-2-1234-5678","Seoul","SEO","International","https://www.linkedin.com/company/pharmacia-korea","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACURES INC.","http://www.pharmacures.com","555-456-7890","Boston","MA","Northeast","https://www.linkedin.com/company/pharmacures","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMACYCLICS INC.","http://www.pharmacyclics.com","567-890-1234","Sunnyvale","CA","West","https://www.linkedin.com/company/pharmacyclics","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"PHARMADATA SA","http://www.pharmadata.com","xxx-xxx-xxxx","Geneva","GE","International","https://www.linkedin.com/company/pharmadata","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
