Company,Industry,Fit,Tier,Tier 1 Reason,Territory,Website,Phone,City,State,Country,Employees,Data Quality,Needs Research,Contact Count
"MERCK KG AUF AKTEIN & CO.","Pharmaceutical","Both","Tier 1","Major solid dose producer. Manufactures billions of tablets annually including Januvia.","International","https://merck.at","'+43 476 25151150","","","","","Complete","Yes","3"
"MERRION PHARM. IRELAND LIMITED","Pharmaceutical","Both","Tier 2","","International","https://merrionpharm.com","'+353 1 672 9272","","","","","Complete","Yes","5"
"microlab.in","Research & Development","Scientific","Tier 3","","International","https://microlab.in","","","Tamil Nadu","","","Partial","Yes","1"
"MILI PHARMACEUTICALS, INC.","Pharmaceutical","Engineering","Tier 3","","International","https://milipharm.com","951-736-5317","","","","","Complete","Yes","1"
"MILLENIUM NATURAL HEALTH PROD.","Nutraceutical","Engineering","Tier 3","","Southeast","https://bonnesantemanufacturing.com","","","Florida","","","Partial","Yes","2"
"MINERALIFE","Mining & Minerals","Scientific","Tier 3","","Rocky Mountain","https://mineralifeonline.com","719-579-9650","","Colorado","","","Complete","Yes","2"
"MINO Labs","Research & Development","Both","Tier 2","","International","https://minolabs.com","","Mexico City","Federal District","Mexico","15","Partial","Yes",""
"mintlab.cl","Research & Development","Scientific","Tier 3","","International","https://mintlab.cl","'+56 2 2562 4371","","","","","Complete","Yes","3"
"mtpharma.co.jp","Pharmaceutical","Scientific","Tier 3","","International","https://mtpharma.co.jp","'+81 663-00-2784","","","","","Complete","Yes","1"
"MYLAN PHARMACEUTICALS","Pharmaceutical","Both","Tier 1","Top 3 global generics. High-volume tablet production.","International","https://mylanlabs.com","304-554-6307","","","","","Complete","Yes","17"
"mysupplementfactory.com","Nutraceutical","Engineering","Tier 2","","International","https://mysupplementfactory.com","740-398-5858","","England","","","Complete","Yes","1"
"N.F. GAMALEYA NATIONAL RESEARCH CENTER","Research & Development","Scientific","Tier 3","","International","https://gamaleya.org","'+7 499 193-30-01","","","","","Complete","Yes","1"
"Nafar Laboratorios","Research & Development","Scientific","Tier 3","","International","https://nafarlaboratorios.com","","Zapopan","Jalisco","Mexico","25","Partial","Yes",""
"National Institute of Pharmaceutical Education and Research (NIPER), Hajipur","Pharmaceutical","Scientific","Tier 3","","International","https://niperhajipur.ac.in","","","","","34","Complete","Yes","1"
"NATURAL FORMULAS","Nutraceutical","Engineering","Tier 2","","International","https://natform.com","510-372-1878","","","","","Complete","Yes","7"
"NATURAL MED LAB","Research & Development","Scientific","Tier 3","","International","https://naturalmedlab.com","305-456-3073","","","","","Partial","Yes",""
"natural-firbas.org","Nutraceutical","Engineering","Tier 3","","International","https://natural-firbas.org","914-574-8035","","","","","Complete","Yes","1"
"NATUREMOST LABORATORY","Research & Development","Scientific","Tier 3","","International","https://naturemost.com","860-346-8991","","","","","Complete","Yes","1"
"NATURION PHARMA","Pharmaceutical","Engineering","Tier 2","","International","https://naturionpharma.com","312-504-1034","","","","","Complete","Yes","2"
"Nik Azma Pars","Research & Development","Scientific","Tier 3","","International","https://naplab.ir","","Karaj","Alborz Province","Iran","15","Complete","Yes","1"
"NNB Nutrition","Nutraceutical","Scientific","Tier 2","","Midwest","https://nnbnutrition.com","","Plano","Texas","United States","76","Complete","Yes","1"
"Noema Pharma","Pharmaceutical","Scientific","Tier 3","","International","https://noemapharma.com","","Basel","Basel-Stadt","Switzerland","33","Complete","Yes","3"
"Nordic Pharma BV","Pharmaceutical","Scientific","Tier 3","","International","https://disphar.com","","","North Holland","","","Partial","Yes","1"
"NORTHERN LABS, INC.","Research & Development","Scientific","Tier 3","","International","https://northernlabs.com","920-684-2126","","","","","Complete","Yes","3"
"Northern Technologies International Corporation (""NTIC""​)","Biotechnology","Engineering","Tier 3","","Midwest","https://ntic.com","573-397-2006","Circle Pines","Minnesota","United States","270","Complete","Yes","2"
"NORTHRIDGE LABORATORIES","Research & Development","Both","Tier 3","","West Coast","https://northridgelabs.com","818-882-5622","","California","","","Complete","Yes","1"
"novapharm-trading.com","Pharmaceutical","Both","Tier 3","","International","https://novapharm-trading.com","","","","","","Partial","Yes","1"
"NOVAST LABORATORIES CHINA LTD.","Research & Development","Both","Tier 2","","International","https://novast.com","","","","","","Partial","Yes","7"
"NOVEL LABORATORIES, INC.","Research & Development","Both","Tier 2","","Northeast","https://lupinusa.com","908-603-6043","","New Jersey","","","Complete","Yes","15"
"NOVMETAPHARMA CO. LTD","Pharmaceutical","Scientific","Tier 2","","International","https://kayolmstead.com","","","","","","Partial","Yes","1"
"Number 8 bio","Biotechnology","Engineering","Tier 2","","International","https://number8.bio","","Sydney","New South Wales","Australia","16","Complete","Yes","8"
"NutraSweet","Nutraceutical","Engineering","Tier 3","","Southeast","https://nutrasweet.com","","Augusta","Georgia","United States","230","Complete","Yes","2"
"NUTRAWISE","Nutraceutical","Engineering","Tier 2","","West Coast","https://nutrawise.net","794-843-7237","","California","","","Complete","Yes","11"
"ocean-nutrition.com","Nutraceutical","Scientific","Tier 3","","Northeast","https://ocean-nutrition.com","902-480-3251","","Virginia","","","Complete","Yes","1"
"ONA Therapeutics","Pharmaceutical","Scientific","Tier 3","","International","https://ona-therapeutics.com","","Barcelona","Catalonia","Spain","35","Complete","Yes","2"
"OPALIA PHARMA","Pharmaceutical","Scientific","Tier 2","","International","https://opalia.com.tn","26443","","","","","Complete","Yes","1"
"Optimal Industrial Technologies","Biotechnology","Scientific","Tier 3","","Northeast","https://optimal-tech.co.uk","","Pawtucket","Rhode Island","United States","16","Partial","Yes",""
"ORION LAB","Research & Development","Scientific","Tier 3","","International","https://rionlabdz.com","'+213 561 90 58 94","","Western Province","","","Complete","Yes","1"
"ORIT LABORATORIES, LLC","Research & Development","Scientific","Tier 2","","Northeast","https://oritlabs.com","226-370-0126","","Connecticut","","","Complete","Yes","5"
"ORTHO MOLECULAR PRODUCTS","Biotechnology","Scientific","Tier 2","","International","https://ompimail.com","","","","","","Partial","Yes","8"
"Osmotica Pharmaceutical Corp.","Pharmaceutical","Scientific","Tier 2","","Northeast","https://osmotica.com","","Bridgewater","New Jersey","United States","310","Complete","Yes","11"
"osmotica.com.ar","Pharmaceutical","Both","Tier 2","","International","https://osmotica.com.ar","'+54 11 4379-4100","","Ciudad Autonoma de Buenos Aires","","","Complete","Yes","1"
"OSTEOTECH, INC.","Biotechnology","Scientific","Tier 3","","Northeast","https://osteotech.com","732-542-2800","","New Jersey","","","Complete","Yes","1"
"PACIFIC NUTRITIONAL, INC.","Nutraceutical","Engineering","Tier 2","","International","https://pacnut.com","360-891-1830","","","","","Complete","Yes","4"
"Parmedic laboratories pvt ltd","Research & Development","Scientific","Tier 3","","International","https://pharmedic.com.vn","","","","Vietnam","4","Partial","Yes",""
"PARTICLE SCIENCES, INC.","Research & Development","Scientific","Tier 2","","Northeast","https://particlesciences.com","610-861-4701  main","","Pennsylvania","","","Complete","Yes","6"
"pblbio.com","Biotechnology","Scientific","Tier 3","","Northeast","https://pblbio.com","","","New Jersey","","","Partial","Yes","1"
"PDlabs","Research & Development","Scientific","Tier 2","","Midwest","https://pdlabs.net","512-219-0724","","Texas","","","Complete","Yes","1"
"PENWEST PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 3","","Northeast","https://penwest.com","845-878-8443","","New York","","","Complete","Yes","2"
"Pharma Consulting and Engineering","Pharmaceutical","Engineering","Tier 2","","International","https://pharmaconsultores.com","","Mexico City","Mexico City","Mexico","5","Complete","Yes","1"
"Pharma GBC","Pharmaceutical","Engineering","Tier 2","","International","https://pharmagbc.com","","Mexico City","Mexico City","Mexico","29","Complete","Yes","1"
"PHARMA PAC, L.L.C.-MS","Pharmaceutical","Engineering","Tier 2","","International","https://pharmapacllc.com","601-743-5090 ext 230","","","","","Complete","Yes","1"
"PHARMACANNIS LLC","Pharmaceutical","Scientific","Tier 3","","International","https://pharmacannis.com","845-207-0113","","","","","Complete","Yes","1"
"pharmacon.co.za","Pharmaceutical","Engineering","Tier 3","","International","https://pharmacon.co.za","718-826-1207","","","","","Complete","Yes","1"
"pharmactive.com.tr","Pharmaceutical","Scientific","Tier 2","","International","https://pharmactive.com.tr","9.03E+11","","","","","Complete","Yes","4"
"pharmalat.com.gt","Pharmaceutical","Both","Tier 3","","International","https://pharmalat.com.gt","813-417-4837","","","","","Complete","Yes","1"
"pharmalead-bd.com","Pharmaceutical","Scientific","Tier 3","","International","https://pharmalead-bd.com","310-293-5981","","","","","Complete","Yes","1"
"PHARMA-MED, INC.","Pharmaceutical","Scientific","Tier 2","","International","https://pharma-medicine.com","610-882-0106","","","","","Complete","Yes","2"
"Pharmapack México","Pharmaceutical","Both","Tier 2","","International","https://pharmapack.com.mx","","Mexico City","Mexico City","Mexico","40","Complete","Yes","1"
"pharmapec.om","Pharmaceutical","Engineering","Tier 3","","International","https://pharmapec.om","'+1 765-422-5014","","","","","Complete","Yes","1"
"pharmaplan.co.in","Pharmaceutical","Scientific","Tier 3","","International","https://pharmaplan.co.in","'+91 120 477 5100","","","","","Complete","Yes","1"
"PHARMATECH LLC.","Pharmaceutical","Engineering","Tier 3","","Southeast","https://pharmatech-llc.com","954-581-7881 ext 6014","Davie","Florida","United States","","Complete","Yes","8"
"pharmatek.com","Pharmaceutical","Engineering","Tier 3","","International","https://pharmatek.com","225-605-8810","","","","","Complete","Yes","2"
"pharmatooling.co.uk","Pharmaceutical","Engineering","Tier 3","","International","https://pharmatooling.co.uk","'+44 1242 524275","","England","","","Complete","Yes","1"
"PharMatrix for Training & Consultation","Pharmaceutical","Scientific","Tier 3","","International","https://pharmatrixco.com","","Manama","","Bahrain","5","Complete","Yes","1"
"pharma-vinci.dk","Pharmaceutical","Engineering","Tier 2","","International","https://pharma-vinci.dk","'+45 47 77 07 08","","","","","Complete","Yes","2"
"PHARMETICS 2011, INC.","Pharmaceutical","Both","Tier 3","","International","https://pharmetics.com","636-699-2285","","Quebec","","","Complete","Yes","5"
"Pharmetique Labs Venezuela","Research & Development","Scientific","Tier 3","","International","https://pharmetiquelabs.com.ve","","Caracas","Caracas Metropolitan District","Venezuela","69","Complete","Yes","1"
"Pharm-Sintez.Lab","Research & Development","Scientific","Tier 3","","International","https://labphs.ru","","","","Russia","1","Partial","Yes",""
"PHASE PHARMACEUTICALS","Pharmaceutical","Engineering","Tier 2","","International","https://phasepharma.com","'+65 6841 4712","","","","","Complete","Yes","1"
"PHILADELPHIA COLLEGE OF PHARMACY","Pharmaceutical","Scientific","Tier 2","","Northeast","https://usp.edu","267-441-7727","","Pennsylvania","","","Complete","Yes","3"
"Philex Pharmaceuticals","Pharmaceutical","Scientific","Tier 2","","Midwest","https://philexpharma.com","","Wichita","Kansas","United States","80","Complete","Yes","6"
"phylaxiz-sanofi.com","Pharmaceutical","Both","Tier 2","","International","https://phylaxiz-sanofi.com","361-260-6406","","Budapest","","","Partial","Yes",""
"plabs.co.za","Research & Development","Scientific","Tier 3","","International","https://plabs.co.za","'+27 12 940 1237","","","","","Complete","Yes","1"
"Porvair Sciences","Research & Development","Engineering","Tier 3","","International","https://porvairsciences.com","","","Wales","United Kingdom","48","Complete","Yes","1"
"PR Pharmaceuticals","Pharmaceutical","Engineering","Tier 2","","International","","","","Mexico City","United States","44","Partial","Yes",""
"PRINCETON INNOVATIONS INC","Pharmaceutical","Engineering","Tier 2","","International","https://pigenerics.com","609-955-4004","","","","","Complete","Yes","1"
"PROLABPHARMA S.R.L.","Pharmaceutical","Scientific","Tier 3","","International","https://prolabpharma.com.py","35452","","","","","Complete","Yes","1"
"PROTAGONIST THERAPEUTICS INC.","Pharmaceutical","Scientific","Tier 2","","West Coast","https://ptgx-inc.com","'+1 510-399-5392","","California","","","Complete","Yes","6"
"PT. IFARS Pharmaceutical Laboratories","Pharmaceutical","Scientific","Tier 3","","International","https://ifars.co.id","","Karanganyar","Central Java","Indonesia","210","Complete","Yes","1"
"PTPS PHARMACEUTICAL TABLET PRESS SERVICE LTD","Pharmaceutical","Engineering","Tier 2","","International","https://ptps.ie","'+353 87 988 7923","","","","","Complete","Yes","2"
"quotientsciences.vom","Research & Development","Scientific","Tier 3","","International","https://quotientsciences.vom","","","","","","Partial","Yes","8"
"R.X. COMPANY LIMITED","Pharmaceutical","Both","Tier 3","","International","https://rx.co.th","","Bangkok","Bangkok","Thailand","30","Complete","Yes","6"
"Radiant Pharmaceuticals Ltd.","Pharmaceutical","Engineering","Tier 2","","International","https://radiant.com.bd","'+880 2-9660307","","","","","Complete","Yes","3"
"REAL CANNABIS","Cannabis","Engineering","Tier 2","","International","https://realcannabisco.com","912-339-1298","","","","","Complete","Yes","1"
"recrocdmo.com","CDMO/CMO","Both","Tier 3","","International","https://recrocdmo.com","682-560-5604","","","","","Complete","Yes","5"
"Reliance Formulation Pvt Ltd","Pharmaceutical","Scientific","Tier 3","","International","https://reliancepharma.com","","Ahmedabad","Gujarat","India","76","Complete","Yes","1"
"RHEMA HEALTH PRODUCTS","Nutraceutical","Engineering","Tier 2","","International","https://rhemahealth.us","801-737-4831 ext 243","","","","","Complete","Yes","4"
"riserunhealth.com","Pharmaceutical","Engineering","Tier 2","","International","https://riserunhealth.com","514-999-2230","","","","","Complete","Yes","1"
"ROADRUNNER PHARMACY","Pharmaceutical","Engineering","Tier 3","","Rocky Mountain","https://roadrunnerpharmacy.net","877-518-4589","","Arizona","","","Complete","Yes","2"
"Rosaspharma","Pharmaceutical","Scientific","Tier 3","","International","https://rosaspharma.dz","","","Algiers","","45","Complete","Yes","1"
"sajapharma.com.eg","Pharmaceutical","Scientific","Tier 3","","International","https://sajapharma.com.eg","","","","","","Partial","Yes","1"
"SAMI PHARMACEUTICALS","Pharmaceutical","Engineering","Tier 3","","International","https://samikhi.com","","","Sindh","","","Partial","Yes","2"
"samipharma.com.pk","Pharmaceutical","Scientific","Tier 3","","International","https://samipharma.com.pk","'+92 40928956","","","","","Complete","Yes","1"
"Sanjeevani Rural Education Societys Sanjeevani College of Pharmaceutical & Research, At. Sahajanandn","Pharmaceutical","Scientific","Tier 3","","International","https://sanjivanipharm.org.in","","Kopargaon","Maharashtra","India","0","Complete","Yes","14"
"SANOFI PASTEUR","Pharmaceutical","Both","Tier 2","","International","https://sanofipasteur.com","570-839-7187","","","","","Complete","Yes","3"
"sanofi-aventis.com","Pharmaceutical","Both","Tier 2","","International","https://sanofi-aventis.com","'+34 913 07 32 06","","","","","Complete","Yes","16"
"SENSIENT COLORS, LLC","Biotechnology","Scientific","Tier 3","","Midwest","https://sensient-tech.com","314-286-7135","","Missouri","","","Complete","Yes","5"
"SENSILAB POLSKA","Research & Development","Scientific","Tier 2","","International","https://sensilab.eu","","","","","","Partial","Yes","2"
"SEPS PHARMA","Pharmaceutical","Scientific","Tier 3","","International","https://sepsharma.com","329-261-6906","","","","","Complete","Yes","1"
"SIGMA PHARMACEUTICALS PTY. LTD.","Pharmaceutical","Scientific","Tier 3","","International","https://signet.com.au","'+61 7 3212 1163","","England","","","Complete","Yes","5"
"Sina Pharma","Pharmaceutical","Engineering","Tier 2","","International","https://sinaecza.com","","Istanbul","Istanbul","Turkey","26","Complete","Yes","1"
"SK pharmteco","Pharmaceutical","Both","Tier 2","","Northeast","https://skpt.com","'+1 888-330-2232","","Pennsylvania","","","Complete","Yes","2"
"SMP Nutra","Nutraceutical","Engineering","Tier 2","","Southeast","https://smpnutra.com","","","Florida","","10","Complete","Yes","3"
"SOFARIMEX IND. QUIMICA E FARMECUEITCA, S.A.","Agriculture","Scientific","Tier 3","","International","https://sofarimex.pt","","Agualva-Cacem","Lisbon","Portugal","130","Complete","Yes","2"
"Solids Development Consult - Filling the gaps between powder and technology","Biotechnology","Scientific","Tier 2","","International","https://solids-development.de","","Leverkusen","North Rhine-Westphalia","Germany","3","Complete","Yes","3"
"SPHERICS INC.","Pharmaceutical","Both","Tier 2","","Northeast","https://spherics.com","508-452-7002","","Massachusetts","","","Complete","Yes","4"
"SRS Formulations Pvt.Ltd.","Pharmaceutical","Both","Tier 2","","International","https://srsfp.com","","","Maharashtra","India","34","Complete","Yes","1"
"Standard Chem & Pharm CO., LTD.","Pharmaceutical","Both","Tier 2","","International","https://standard.com.tw","","Tainan","Tainan City","Taiwan","23","Complete","Yes","17"
"STAR TOBACCO","Research & Development","Engineering","Tier 2","","International","https://starscientific.com","434-372-0910","","","","","Complete","Yes","1"
"STARPHARMA MALTA","Pharmaceutical","Both","Tier 2","","International","https://starpharmamalta.com","'+356 7955 9966","","","","","Complete","Yes","1"
"STOCKTON LABS, LLC","Research & Development","Scientific","Tier 2","","International","https://stocktonlabs.com","908-675-7867","","","","","Complete","Yes","1"
"STRIDES USA","Pharmaceutical","Both","Tier 2","","International","https://stridesusa.com","845-573-5546","","","","","Complete","Yes","27"
"SUN PHARMA DE MEXICO,SA de CV","Pharmaceutical","Both","Tier 3","","International","https://sunpharma.com.mx","17818","","","","","Complete","Yes","1"
"SUNSTATE LABORATORIES, LLC","Research & Development","Scientific","Tier 3","","International","https://sunstatelabs.com","720-524-8477","","","","","Complete","Yes","1"
"SYNERGY PRODUCTION LAB","Research & Development","Both","Tier 3","","Rocky Mountain","https://synergy-co.com","435-610-2800","","Utah","","","Complete","Yes","2"
"synergypharma.lk","Pharmaceutical","Engineering","Tier 3","","International","https://synergypharma.lk","3.58E+11","","","","","Complete","Yes","2"
"TABLETING PRO LLC","Chemical","Engineering","Tier 2","","Southeast","https://tabletingpro.com","","China Grove","North Carolina","United States","2","Complete","Yes","5"
"Tableting Solutions - Talleres Sanchez","Chemical","Engineering","Tier 2","","International","https://ts.com.ar","","Buenos Aires","Autonomous City of Buenos Aires","Argentina","9","Complete","Yes","3"
"TABUK PHARMACEUTICAL MFG. CO.","Pharmaceutical","Scientific","Tier 2","","International","https://tpmc.com.sa","'+966 4 428 3030 ext 330","","Eastern Province","","","Complete","Yes","5"
"takeda.co.id","Pharmaceutical","Both","Tier 3","","International","https://takeda.co.id","'+62 21 8804714","","","","","Complete","Yes","104"
"TEVA - THERAMEX","Pharmaceutical","Both","Tier 3","","International","https://theramex.mc","'+377 92 05 08 08","","","","","Partial","Yes",""
"TEVA CZECH INDUSTRIES S.R.O.","Pharmaceutical","Both","Tier 3","","International","https://tevapharm.cz","'+420 553 644 740","","","","","Complete","Yes","18"
"TEVA KUTNO","Pharmaceutical","Both","Tier 2","","International","https://teva.pl","'+48 12 617 84 00","","Lesser Poland Voivodeship","","","Complete","Yes","13"
"TEVA LLC","Pharmaceutical","Both","Tier 2","","International","https://teva.ru","'+7 910 662-42-40","","","","","Complete","Yes","15"
"Teva México","Pharmaceutical","Both","Tier 2","","International","https://tevamexico.com.mx","","","Federal District","Mexico","800","Complete","Yes","13"
"THANG BOTANICALS, INC.","Nutraceutical","Engineering","Tier 3","","International","https://7ohmz.com","5.28E+11","","","","","Complete","Yes","1"
"THE FLAVOR COMPANY","Food & Beverage","Engineering","Tier 3","","International","https://theflavorcompany.com","530-559-9937","","","","","Complete","Yes","1"
"THE MAIN LAB, LLC","Research & Development","Scientific","Tier 3","","Southeast","https://themainelab.com","607-759-2036","","North Carolina","","","Complete","Yes","1"
"TWINLAB CORPORATION","Research & Development","Both","Tier 2","","International","https://isibrands.com","801-492-7309 Direct","","","","","Complete","Yes","7"
"UNILAB PHARMACEUTICALS CO., LTD.","Pharmaceutical","Both","Tier 3","","International","https://unilab.co.th","'+66 81 543 0178","","","","","Complete","Yes","14"
"UNIPHARM","Pharmaceutical","Both","Tier 3","","Midwest","https://unipharm.co.il","2.01E+11","","Texas","","","Complete","Yes","7"
"UP CANNABIS","Cannabis","Scientific","Tier 3","","International","https://up.ca","647-618-1848","","Ontario","","","Complete","Yes","1"
"UPSHOOT","Pharmaceutical","Scientific","Tier 2","","International","https://adchealth.com","714-813-5174","","","","","Complete","Yes","1"
"US PHARMACIA SP. Z O.O.","Pharmaceutical","Engineering","Tier 2","","International","https://usp.com","34389","","","","","Complete","Yes","1"
"USNC","Mining & Minerals","Scientific","Tier 2","","West Coast","https://usnc.com","","Seattle","Washington","United States","25","Complete","Yes","1"
"VALPHARMA INTERNATIONAL S.P.A.","Pharmaceutical","Engineering","Tier 3","","International","https://valpharmainternational.com","'+39 0541 928928","","","","","Complete","Yes","2"
"VALPHARMA SPA","Pharmaceutical","Engineering","Tier 3","","International","https://valpharma.com","","","Serravalle","San Marino","54","Complete","Yes","3"
"veeralabs.us","Research & Development","Scientific","Tier 2","","Northeast","https://veeralabs.us","732-668-5311","","New Jersey","","","Complete","Yes","1"
"Verdiva Bio","Biotechnology","Engineering","Tier 2","","International","https://verdivabio.com","","London","England","United Kingdom","59","Complete","Yes","2"
"Vima Therapeutics","Pharmaceutical","Scientific","Tier 2","","Northeast","https://vimatx.com","","Cambridge","Massachusetts","United States","15","Complete","Yes","3"
"VITACOST","Nutraceutical","Engineering","Tier 3","","International","https://nutrals.com","336-956-3860 ext 452","","","","","Complete","Yes","3"
"Vitae Laboratorios","Research & Development","Scientific","Tier 3","","International","https://vitaelaboratorios.com","","","","","46","Complete","Yes","1"
"vraformulations.con","Pharmaceutical","Both","Tier 3","","International","https://vraformulations.con","'+1 954-319-0002","","","","","Partial","Yes",""
"VWR CHEMICALS, LLC","Chemical","Engineering","Tier 3","","International","https://amresco-inc.com","404-317-2065","","","","","Complete","Yes","8"
"WATSON LABORATORIES, INC.- NY","Research & Development","Scientific","Tier 3","","International","https://watsonpharm.com","91476 72311","","","","","Complete","Yes","4"
"WILLING'S GROUP INC.","Nutraceutical","Engineering","Tier 2","","International","https://wnutra.com","0115 871 8888","","","","","Complete","Yes","2"
"WINDER LABORATORIES, LLC","Research & Development","Both","Tier 2","","International","https://winderlabs.com","770-307-0702","","","","","Complete","Yes","14"
"XEN laboratoires","Research & Development","Scientific","Tier 3","","International","https://xenlaboratoires.com","","","Sfax","","24","Complete","Yes","1"
"XEROX RESEARCH CENTRE OF CANADA","Research & Development","Scientific","Tier 3","","International","https://xeroxlabs.com","905-823-7091 ext 417","","Ontario","","","Complete","Yes","2"
"Xi Pharma Laboratorios","Pharmaceutical","Both","Tier 2","","International","https://xi-pharma.com","","Zapopan","Jalisco","Mexico","2","Partial","Yes",""
"Yash Life Sciences","Research & Development","Engineering","Tier 3","","International","https://yashlifesciences.com","","Kafue","Lusaka Province","Zambia","88","Complete","Yes","1"
"ypfizer.com","Pharmaceutical","Both","Tier 1","Global leader in solid dose manufacturing. Massive tablet production for Lipitor, Viagra, and generics.","International","https://ypfizer.com","'+63 905 276 6593","","","","","Complete","Yes","1"
"ZERION PHARMA APS","Pharmaceutical","Scientific","Tier 2","","International","https://zerion.eu","","Copenhagen","Capital Region of Denmark","Denmark","23","Complete","Yes","4"
"2rlsupplies.com","Nutraceutical","Both","Tier 2","","International","https://2rlsupplies.com","714-500-7363","","","","","Complete","Yes","1"
"3D Pharma","Pharmaceutical","Scientific","Tier 2","","International","","","Mexico City","Federal District","Mexico","15","Partial","Yes",""
"A&Z  PHARMACEUTICAL, INC.","Pharmaceutical","Scientific","Tier 2","","International","https://azpharmaceuitical.com","","","","","","Partial","Yes","6"
"ABSOLUTE VERTERINARY COMPOUNDING PHARMACY","Pharmaceutical","Scientific","Tier 2","","International","https://absolutevetrx.com","817-599-7781","","","","","Complete","Yes","1"
"ACADEMPHARM","Pharmaceutical","Scientific","Tier 2","","International","https://academpharm.by","-880","","","","","Complete","Yes","1"
"ACCELERATED GENETIX, LLC","Biotechnology","Both","Tier 2","","International","https://acceleratedgenetixllc.com","719214246","","","","","Complete","Yes","1"
"ACELRX PHARMACEUTICALS, INC.","Pharmaceutical","Scientific","Tier 2","","International","https://lillypadsite.com","650-941-7377","","","","","Complete","Yes","1"
"ACME MUNITIONS","Defense & Energetics","Engineering","Tier 2","","International","https://acmemunitions.com","619-727-3565","","","","","Complete","Yes","1"
"ADDS PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 2","","International","https://encinal.net","","","","","","Partial","Yes","3"
"ADVAN PHARMACHEM","Pharmaceutical","Scientific","Tier 2","","International","https://advanpharma.com.cn","+86 21 6867 0112","","","","","Complete","Yes","1"
"akaciahealth.com","Pharmaceutical","Both","Tier 2","","International","https://akaciahealth.com","079-184-6713","","","","","Complete","Yes","1"
"ALEMBIC PHARMACEUTICALS LTD.","Pharmaceutical","Scientific","Tier 2","","International","https://alemic.co.in","","","","","","Partial","Yes","3"
"ALFABIOMED","Biotechnology","Both","Tier 2","","International","https://ghpl.co","","Dublin","County Dublin","Ireland","26","Complete","Yes","1"
"All American Pharmaceutical","Pharmaceutical","Scientific","Tier 2","","Rocky Mountain","https://allamericanpharmaceutical.com","","Billings","Montana","United States","39","Complete","Yes","2"
"ALLIED PHARMATECH","Pharmaceutical","Scientific","Tier 2","","International","https://alliedpharmatech.com","516-240-0873","","","","","Complete","Yes","1"
"alliedsupplements.com","Nutraceutical","Scientific","Tier 2","","International","https://alliedsupplements.com","877-222-3520","","","","","Complete","Yes","1"
"alphachem.com.mx","Chemical","Both","Tier 2","","International","https://alphachem.com.mx","552-249-4684","","","","","Complete","Yes","1"
"ALTUS LIFE","Biotechnology","Both","Tier 2","","International","https://franklinbioscience.com","303-877-4149","","","","","Complete","Yes","2"
"AMAZING NUTRA INC.","Nutraceutical","Scientific","Tier 2","","International","https://amazingnutra.com","551-232-6742","","","","","Partial","Yes",""
"AMAZING VITAMINS","Nutraceutical","Scientific","Tier 2","","International","https://amazingcommerce.com","571-489-9744","","","","","Complete","Yes","1"
"AMAZON FOREST BOTANICALS","Mining & Minerals","Both","Tier 2","","International","https://amazonforest.net","973-584-3900","","","","","Complete","Yes","2"
"AMERICAN PHARMACEUTICAL REVIEW","Pharmaceutical","Scientific","Tier 2","","International","https://russpub.com","317-816-8787","","","","","Complete","Yes","1"
"Amipharma Dominicana","Pharmaceutical","Scientific","Tier 2","","International","https://amipharma-labs.com","","Santo Domingo","Distrito Nacional","Dominican Republic","12","Complete","Yes","2"
"AMNEAL PHARMACEUTICALS PVT. LTD.","Pharmaceutical","Scientific","Tier 2","","International","https://amnealindia.com","","","","","816","Complete","Yes","13"
"AMSA Laboratorios","Research & Development","Scientific","Tier 2","","International","https://amsamexico.com.mx","","Mexico City","Mexico City","Mexico","150","Partial","Yes",""
"ANACHEMIA CANADA, INC.","Chemical","Both","Tier 2","","International","https://anachemia.com","514-485-8349","","","","","Complete","Yes","1"
"AnalyticaOne Group","Research & Development","Both","Tier 2","","Northeast","https://analyticaone.com","","Baltimore","Maryland","United States","97","Complete","Yes","1"
"ANOVIS INDUSTRIAL FARMACEUTICA LTDA","Agriculture","Both","Tier 2","","International","https://anovis.com.br","114-788-9934","","","","","Partial","Yes",""
"apexpharmasa.com","Pharmaceutical","Scientific","Tier 2","","International","https://apexpharmasa.com","","","","","","Partial","Yes","1"
"APPLIED BIO ENERGETICS","Defense & Energetics","Engineering","Tier 2","","International","https://lumo-e.com","310-308-8780","","","","","Complete","Yes","2"
"APS PHARMACO","Pharmaceutical","Scientific","Tier 2","","International","https://apsbiz.com","631-412-3523","","","","","Complete","Yes","1"
"AQUA NUTRACEUTICALS","Nutraceutical","Scientific","Tier 2","","International","https://aquanutraceuticals.com","","","","","","Partial","Yes","2"
"archnutra.com","Nutraceutical","Scientific","Tier 2","","International","https://archnutra.com","515-650-7465","","","","","Partial","Yes",""
"Arihant Innochem Private Limited","Chemical","Both","Tier 2","","International","https://arihantinnochem.com","","Mumbai","Maharashtra","India","24","Complete","Yes","1"
"Aristopharma","Pharmaceutical","Scientific","Tier 2","","International","https://aristopharma.com","","","","Bangladesh","","Partial","Yes","1"
"ARROW GENERIQUES","Biotechnology","Both","Tier 2","","International","https://arrow-generiques.com","047-272-6072","","","","","Complete","Yes","1"
"AURA Veterinary","Veterinary Pharma","Scientific","Tier 2","","International","https://auravet.com","","","","United Kingdom","72","Complete","Yes","1"
