Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Tenergy Corporation,68,electrical/electronic manufacturing,http://www.tenergy.com,http://www.linkedin.com/company/tenergycorporation,https://facebook.com/pages/Tenergy-Corporation/221091137908214,https://twitter.com/tenergyofficial,436 Kato Terrace,Fremont,California,United States,94539,"436 Kato Terrace, Fremont, California, United States, 94539","battery pack production, design & development of custom products, off the shelf power solutions, wide variety of charging solutions, support for ul, un certification process, manufacturing, battery pack design, battery pack customization, appliances, electrical, & electronics manufacturing, energy efficiency, medical battery solutions, transportation batteries, nimh batteries, custom battery development, battery packs, b2b, power storage, energy storage, electrical equipment and components manufacturing, li-polymer, government, data backup power, military power solutions, lithium-ion batteries, li-ion, services, charger solutions, power design regulations, power management, consumer electronics, battery manufacturing, e-commerce, consulting, battery solutions, electrical equipment, appliance, and component manufacturing, off-the-shelf power products, healthcare, military, transportation, power backup, data management, power technology, custom solutions, nimh, lifepo4, battery design, mechanical or industrial engineering, electrical/electronic manufacturing, environmental services, renewables & environment, oil & energy, consumers, hardware, consumer internet, internet, information technology & services, health care, health, wellness & fitness, hospital & health care",'+1 510-687-0388,35000000,3691,33591,2004,
Farasis Energy,200,electrical/electronic manufacturing,http://www.farasis-energy.com,http://www.linkedin.com/company/farasis,https://facebook.com/FarasisEnergy/,https://twitter.com/farasis,Jin Ling Xi Da Dao,Gan Zhou Shi,Jiang Xi Sheng,China,341003,"Jin Ling Xi Da Dao, Gan Zhou Shi, Jiang Xi Sheng, China, 341003","liion batteries, grid storage, ev, phev, battery modules, mhev, nmc, lfp, hv, appliances, electrical, & electronics manufacturing, environmental responsibility, fast charging technology, automotive battery pack design, automotive industry batteries, semi-solid electrolyte batteries, electric mobility, battery system integration, battery thermal runaway prevention, high energy density, large-scale production, energy storage systems, battery pack design, automotive oem supply, battery technology development, automotive battery certification, battery material sourcing, sustainable energy, battery innovation, battery environmental impact, solid-state battery research, battery r&d, battery innovation in aerospace, high-performance energy storage, ultra-fast charging batteries, automotive energy solutions, fast charging, high-power batteries, battery sustainability, automotive battery lifecycle management, battery supply partnerships, automotive safety standards, battery innovation partnerships, battery market expansion, battery cell design, energy management, battery manufacturing automation, automotive battery integration, transportation & logistics, battery patents, battery technology collaborations, mass production, battery cell chemistry, pouch cells, battery performance testing, battery design, energy density optimization, battery lifecycle management, electric vehicle batteries, battery lifecycle extension, battery cell miniaturization, battery safety certification, performance, battery module assembly, electric powertrains, battery safety, battery manufacturing, energy density, energy storage solutions, battery partnerships, automotive oems, b2b, battery lifecycle, energy grid storage, long-life battery cells, high-capacity energy storage, battery safety technology, automotive electrification, electric vehicles, energy transition, energy transition support, services, battery research, battery performance optimization, manufacturing, performance lithium-ion cells, industrial batteries, lithium-ion pouch batteries, energy storage, battery safety standards, battery capacity scaling, long cycle life, automotive battery modules, advanced electrolyte development, high-performance batteries, battery capacity expansion, battery safety containment, battery system engineering, battery capacity, electric mobility infrastructure, advanced battery solutions, battery recycling initiatives, sustainability, battery manufacturing plants, automotive batteries, safety and stability, battery pack integration, automotive battery safety systems, battery supply chain resilience, battery testing, next-generation battery technology, performance batteries, sustainable battery materials, battery performance analytics, battery supply chain, battery thermal management, sodium-ion batteries, safety standards, lithium-ion batteries, battery industry trends, energy & utilities, evtol battery systems, battery technology, battery safety testing protocols, battery safety regulation compliance, battery recycling, sustainable energy solutions, battery management system, electric motorcycle batteries, industrial machinery batteries, commercial vehicle batteries, closed-loop value chain, tailor-made battery solutions, long life cycles, high power output, battery performance, electric aviation, electric bus batteries, thermal propagation technology, high-energy batteries, overhead costs reduction, environmental sustainability, electric two-wheelers, batteries for all-terrain vehicles, life cycle analysis, power density, electric propulsion systems, sustainable production, modular battery systems, advanced charging strategy, innovation in battery technology, battery cell production, green manufacturing practices, global battery supply, e-mobility solutions, real-time battery monitoring, automotive power systems, scalable battery solutions, renewable energy storage, high-cycle resistance, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, clean energy & technology, environmental services, renewables & environment",'+1 510-732-6600,1000000000,3691,33591,2002,
TRONEX,410,electrical/electronic manufacturing,http://www.tronex.com,http://www.linkedin.com/company/tronexcolombia,https://www.facebook.com/TronexColombia/,,92 Carrera 67 1,Medellin,Antioquia,Colombia,50024,"92 Carrera 67 1, Medellin, Antioquia, Colombia, 050024","inversores, energi solar, ups, pilas alcalinas, baterias estacionarias, rectificadores, cargadores, baterias de traccion, robot de desinfeccion, energia hidraulica, pilas zinccarbon, iluminacion led, encendedores, supresores de picos, bombillas fluorescentes compactas, pallets o estibas plasticas, sistemas fotovoltaicos, pilas recargables, pilas litiohierro, montaje solar, appliances, electrical, & electronics manufacturing, b2b, recycled ppe materials, solar panels, protective suits, face mask manufacturing, eco-friendly manufacturing processes, innovative ppe design, renewable energy, global safety solutions, healthcare safety solutions, health and safety, corporate awards, safety innovation, social impact, disposable gloves, industrial ppe supply, respirator manufacturing, e-commerce, energy storage, safety standards compliance, biodegradable face masks, logistics, sustainability initiatives, biodegradable protective apparel, infection control products, regulatory compliance, industrial safety solutions, n95 respirators, recyclable ppe packaging, renewable energy powered manufacturing, ppe manufacturing, waste management, biodegradable products, healthcare safety products, renewable energy ppe manufacturing, social responsibility in ppe, healthcare ppe, renewable energy use in production, face masks, protective gloves, protective gowns, sustainable infection control, industrial safety, award-winning safety gear, manufacturing excellence, safety compliance, social responsibility initiatives in ppe, energy efficiency, government ppe procurement, industrial manufacturing, award-winning ppe products, infection control, sustainable ppe development, foodservice safety gear, recyclable medical supplies, protective apparel, eco-conscious ppe, biodegradable gloves, retail, innovation, medical safety equipment, recycled packaging ppe, government, healthcare ppe supply, renewable energy in manufacturing, corporate social responsibility, biodegradable ppe, customer engagement, biodegradable and recyclable ppe, global safety provider, industrial equipment & supplies, supply chain management, gloves, medical safety, renewable energy use, surgical products, biodegradable gloves and masks, social impact programs, distribution, innovative safety solutions, renewable energy sourcing, government safety supplies, biodegradable surgical products, industrial safety equipment, foodservice safety, services, industrial ppe, sustainable health safety products, medical supplies, healthcare, medical ppe, infection prevention, social impact ppe programs, safety supply chain, retail ppe, medical equipment and supplies manufacturing, recycled ppe packaging solutions, social responsibility, manufacturing, safety product development, awards and recognition, sustainable ppe, recyclable packaging, product development, sustainability, customer service, eco-friendly safety gear, personal protective equipment, surgical infection control, retail safety products, safety solutions, protective clothing, disposable safety gear, disposable ppe, ecommerce, recycled packaging, retail ppe distribution, batteries, solar inverters, ups systems, electric mobility, adhesives, home lighting, household electronics, personal care products, mass consumer products, industrial solutions, mobile energy packs, protection barriers, charging controllers, battery cabinets, zinc carbon batteries, alkaline batteries, sustainability practices, innovative technology, research and development, environmental responsibility, product quality assurance, logistics solutions, battery manufacturing, safety standards, customer satisfaction, business strategy, digital sales, brand representation, community impact, occupational safety, health management, environmental regulations, quality control, collaborative culture, employee development, learning opportunities, corporate governance, strategic partnerships, digital platform, market expansion, industrial, safety, biodegradable, recycled, renewable_energy, social_responsibility, medical, infection_control, protective_equipment, disposable, masks, respirators, surgical, awards, quality, global, safety_solutions, healthcare_supply, industrial_safety, public_health, safety_standards, electrical/electronic manufacturing, mechanical or industrial engineering, clean energy & technology, environmental services, renewables & environment, health & safety, consumer internet, consumers, internet, information technology & services, oil & energy, logistics & supply chain, health care, health, wellness & fitness, hospital & health care, hardware, research & development",'+44 88090 1912,,3621,33911,2000,
"Industrial Battery & Charger, Inc.",120,wholesale,http://www.ibcipower.com,http://www.linkedin.com/company/ibcipower,https://www.facebook.com/IBCIpower/,https://twitter.com/IBCIpower,5831 Orr Rd,Charlotte,North Carolina,United States,28213,"5831 Orr Rd, Charlotte, North Carolina, United States, 28213","energy management solutions, engineer, furnish & install ef, i, motive power applications, data center & telecommunications, mining applications, switchgear, control, industrial batteries, chargers, stationary power, forklift, warehouse, supply chain, information data centers, industrial batteries service, maintenance, energy, power, custom power solutions, power system upgrades, transportation & logistics, recycling programs, power solutions, stationary power products, battery watering technology, industrial power distribution, fleet control systems, battery water technologies, consulting, distribution, large inventory, stationary power batteries, b2b, power product programs, field services, emergency power solutions, industrial equipment, power management, battery water technology, fleet management, power system engineering, battery safety technology, scheduled maintenance, ef&i services, battery handling systems, motivation power batteries, battery maintenance & parts, industrial power parts, custom programs, emergency power products, turn-key solutions, technical support, power system design, parts & accessories, battery maintenance, energy & utilities, power system design support, custom solutions, recycling & sustainability, long-term vendor relationships, battery manufacturing, performance audits, services, emergency products, fleet maintenance, inventory management, environmental conservation, motivation power chargers, battery watering technologies, engineering support, customer service",'+1 800-833-8412,10000000,3694,33591,1977,
National Batteries Company,67,machinery,http://www.battariat.com,http://www.linkedin.com/company/national-batteries-company,,,,Riyadh,Riyadh Province,Saudi Arabia,14336,"Riyadh, Riyadh Province, Saudi Arabia, 14336","industrial machinery manufacturing, automotive batteries, hybrid batteries, battery market, battery manufacturing, battery industry, battery market share saudi arabia, plant capacity, maintenance free batteries, premium batteries, battery standards, battery certification saudi standards, battery plant, battery quality, battery support, market share, hybrid dry charge batteries, product certification, battery plant capacity, automotive, b2b, manufacturing, battery store, maintenance free batteries saudi arabia, saso certification, hybrid dry charge, automotive battery plant, battery products, battery certificates, premium hybrid batteries, battery industry leader saudi arabia, saudi arabia, battery client list, certified batteries, maintenance-free batteries, battery maintenance, battery product range, saso mark batteries, saso mark, e-commerce, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+966 11 265 0019,,3694,33591,1995,
Canadian Energy,160,semiconductors,http://www.cdnrg.com,http://www.linkedin.com/company/canadianenergy,https://facebook.com/CanadianEnergy,https://twitter.com/canadianenergy,10550 42 St SE,Calgary,Alberta,Canada,T2C 5C7,"10550 42 St SE, Calgary, Alberta, Canada, T2C 5C7","solar, batteries, inverters, power conversion, circuit protection, marketing, energy storage, stored energy, dc power solutions, renewable energy solutions, power management, wind, geothermal, training, rv solar, marine solar, off grid solutions, battery chargers, battery testers, sem, renewable energy semiconductor manufacturing, industrial batteries, government, battery distribution, inverters and chargers, mixtech batteries, services, renewable energy products, battery technology, battery recycling, low voltage disconnects, mobility scooter batteries, battery recycling drive, battery maintenance, distribution, hybrid inverter/chargers, first responder batteries, power conversion for telecom, test equipment, industrial power solutions, b2b, stationary energy storage, electrical equipment manufacturing, e-commerce, dry cell+ batteries, motive power batteries, off-grid backup power, renewable energy batteries, battery manufacturing, marine batteries, power conversion solutions, renewable energy, solar panels, retail, solar energy, manufacturing, consumer_products_retail, transportation_logistics, energy_utilities, clean energy & technology, environmental services, renewables & environment, hardware, oil & energy, semiconductors, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 800-236-7472,,3621,33591,1987,
Chloride Exide Limited,110,mechanical or industrial engineering,http://www.chlorideexide.com,http://www.linkedin.com/company/chloride-exide-limited,,https://twitter.com/chlorideexide,Enterprise Rd,Nairobi,Nairobi County,Kenya,,"Enterprise Rd, Nairobi, Nairobi County, Kenya","locally assembled, maintenance free automotive batteries, solar panels, inverter power backup systems, solar water heating systems, deepcycle batteries, manufacturing, energy storage, solar installation services, solar pv panels, community development projects, solar project commissioning, energy management systems, solar project sustainability, solar energy for urban areas, energy storage solutions, solar project innovation, sustainable energy, energy storage batteries, solar project consultancy, services, innovative energy solutions, solar energy for institutions, solar energy for manufacturing, wind energy, cost-effective energy systems, solar pv systems, solar energy for commercial, solar energy for processing plants, solar energy for public infrastructure, solar system repair, reliable energy products, energy & utilities, solar project monitoring, solar water heaters, battery recycling, community solar projects, battery technology, solar energy for government facilities, solar water heating, solar panel installation, solar energy, water heating systems, water heating, solar energy for residential, solar project kenya, solar energy for remote areas, renewable energy, solar project design, solar energy for agriculture, power backup systems, cost savings, solar system retrofitting, solar energy microgrids, solar energy for retail, wind energy products, green energy, solar energy for data centers, solar energy systems, solar system maintenance, solar energy for small businesses, all other electrical equipment and component manufacturing, solar project financing, energy independence solutions, energy efficiency, scalable energy storage, hybrid solar systems, solar project development, energy efficiency technologies, carbon footprint reduction, solar energy mini-grids, b2b, community impact, solar project community impact, d2c, solar project evaluation, automotive batteries, solar project management, energy solutions, environmental sustainability, energy management, sustainable energy products, environmental impact reduction, grid-tie solar, off-grid solar, sustainability, solar systems, e-commerce, solar energy for industrial parks, grid-tie solar systems, solar energy for education, b2c, reliable power systems, solar energy for healthcare, solar energy for offices, solar energy for logistics, solar energy for rural communities, solar energy for water pumping, solar energy for hospitality, power backup, energy independence, battery delivery service, solar energy for telecom, renewable energy solutions, solar project optimization, customer satisfaction, solar project operation, solar energy for irrigation, sustainable development, reliable power solutions, wind turbines, solar energy for transportation, advanced battery technology, environmental responsibility, csr initiatives, solar project tanzania, off-grid solar solutions, retail, csr activities, battery manufacturing, east africa energy, solar project uganda, solar energy for industry, solar energy for large enterprises, solar system installation, off-grid solar systems, solar energy solutions, energy storage systems, water heating solutions, grid-tie systems, off-grid solutions, hybrid solar solutions, heat pumps, power back-up solutions, carbon emissions reduction, dial-a-battery service, maintenance-free batteries, sealed lead acid batteries, absorbent glass mat batteries, enhanced flooded batteries, deep cycle batteries, energy management software, installation services, professional expertise, tailored solutions, financial savings, power purchase agreements, environmental impact, individual solar systems, commercial solar solutions, industrial battery backup, energy consumption management, batteries for renewable energy, custom energy solutions, sustainable water heating, eco-friendly options, performance optimization, community development initiatives, energy stability, energy monitoring, energy storage integration, power outages management, grid stability solutions, heat pump technology, mechanical or industrial engineering, oil & energy, clean energy & technology, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services",'+254 719 080000,,3621,33599,1963,
Celcom Group,62,telecommunications,http://www.celcomgroup.co.za,http://www.linkedin.com/company/celcom-group-ltd-,,,21 Woodlands Drive,Sandton,Gauteng,South Africa,2191,"21 Woodlands Drive, Sandton, Gauteng, South Africa, 2191","telecommunications, surge protection, support activities for transportation, ftth/ftts installations, telecommunications support, power generation, saltwater energy storage for energy arbitrage, saltwater energy storage for renewable energy, energy management, agent management, saltwater energy storage for off-grid, power storage, power system consultancy, risk management, saltwater batteries for telecom, solar energy systems, energy, lightning protection, power storage batteries, saltwater energy storage for off-grid telecom, regulatory compliance, battery backup, telecom infrastructure, consulting, energy efficiency, site upgrades, renewable energy, antenna installations, power system monitoring, ussd portals, power as a service, b2c, distribution, network support services, surge and lightning protection, anti-theft battery protection, solar energy, saltwater batteries, network services, power backup, asset management, power generation backup, saltwater energy storage system, bulk topping up, power solutions, accessories, saltwater energy storage for grid-tied systems, hybrid off-grid solutions, saltwater energy storage for telecom, power system security, retail, custom solutions, saltwater energy system, services, api integration, energy & utilities, custom software solutions, power system integration, power load management, saltwater energy storage, construction & real estate, saltwater telecom backup, site build services, bulk sms services, battery swaps, telecom backup power, saltwater energy storage solutions, power system design, e-commerce, off-grid power, navigational, measuring, electromedical, and control instruments manufacturing, power system maintenance, power system rental, power sla management, b2b, hybrid energy systems, saltwater energy storage for backup power, transportation & logistics, oil & energy, environmental services, renewables & environment, clean energy & technology, consumer internet, consumers, internet, information technology & services",,,3663,517,,
Relectrify,52,semiconductors,http://www.relectrify.com,http://www.linkedin.com/company/relectrify,https://facebook.com/relectrify/,https://twitter.com/Relectrify,,Melbourne,Victoria,Australia,,"Melbourne, Victoria, Australia","clean energy, renewable energies, energy storage, renewable tech, energy, clean technology, renewable energy semiconductor manufacturing, energy system upgrade pathways, cell-level control, manufacturing, cost reduction, distributed battery management, system integration, services, asset management, cell bypassing for faults, adaptive bms, state of charge (soc) accuracy, cell health diagnostics, safety and fault bypass, asset longevity, battery pack swapping, modular design, automatic cell balancing, battery management system, proactive safety, system uptime, energy & utilities, grid-compliant ac power, capacity retention, modular inverterless ac battery, battery control, distributed battery control, energy management integration, b2b, energy market support, performance guarantees, energy efficiency, high frequency granular data, battery energy storage system, preventative maintenance, energy output optimization, safety monitoring, compact and easy to install, machine-learning algorithms, long-term performance guarantees, energy system resilience, fault detection, renewable energy support, cell monitoring, market-leading guarantees, machine learning, energy system optimization, real-time health monitoring, battery manufacturing, remote asset monitoring, granular data analytics, battery system modularity, renewable energy, environmental services, renewables & environment, clean energy & technology, oil & energy, semiconductors, hardware, mechanical or industrial engineering, artificial intelligence, information technology & services",,,3631,33591,2015,
Terrafame Ltd,830,chemicals,http://www.terrafame.com,http://www.linkedin.com/company/terrafame-oy,https://facebook.com/Terrafame-1600550203531032/,,66 Malmitie,Sotkamo,Kainuu,Finland,88120,"66 Malmitie, Sotkamo, Kainuu, Finland, 88120","chemical manufacturing, chemicals",'+358 20 7130800,588000000,1000,,2015,
VLAD,83,electrical/electronic manufacturing,http://www.vlad.fr,http://www.linkedin.com/company/vlad,,,,Parcay-Meslay,Centre-Val de Loire,France,37210,"Parcay-Meslay, Centre-Val de Loire, France, 37210","batterie, battery, piles, lithium, lithiumion, nicd, nimh, medical, home care, industry, lead, engineering, battery manufacturer, plomb, trading, reconditioning, appliances, electrical, & electronics manufacturing, local battery production, high-tech batteries, battery reconditioning france, battery homologation, battery prototyping, battery homologation labs, recycling batteries, consulting, energy, services, lead batteries, battery manufacturing, alkaline batteries, battery assembly, battery supply, eco-design batteries, li-ion batteries, custom battery design, battery innovation, eco-friendly batteries, b2b, battery logistics, iso 13485 certified, energy management, medical devices, mechanical and thermodynamic design, manufacturing, battery certification labs, french battery industry, industry 4.0 batteries, energy solutions, iso 13485 medical device batteries, bms and pcm development, battery qualification, healthcare, battery design, industrial equipment, battery reconditioning, french manufacturer, mass production support, custom battery solutions, sustainable battery design, industrial batteries, medical batteries, battery certification, custom lithium-ion batteries, supply chain management, industry 4.0 battery manufacturing, battery prototyping france, mobility, distribution, transportation & logistics, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, hospital & health care, health care, health, wellness & fitness, logistics & supply chain",'+33 2 47 54 08 29,,3691,33591,1985,
Inventus Power,1500,electrical/electronic manufacturing,http://www.inventuspower.com,http://www.linkedin.com/company/inventus-power,https://facebook.com/InventusPowerTJ,https://twitter.com/inventuspower,1200 Internationale Parkway,Woodridge,Illinois,United States,60517,"1200 Internationale Parkway, Woodridge, Illinois, United States, 60517","appliances, electrical, & electronics manufacturing, medical equipment and supplies, global oem support, advanced battery technology, services, battery manufacturing, energy storage, patented battery technology, safety certification, government, electric vehicles, next-generation battery systems, battery system integration, power supplies, industrial equipment & components, battery accessories, custom battery design, battery innovation, sustainable energy solutions, battery industry expertise, battery engineering & development, b2b, battery system design, charging solutions, oem power solutions, commercial & industrial batteries, portable power systems, electrification technologies, medical devices, manufacturing, battery lifecycle management, multi-continent operations, global oem partnerships, medical battery systems, lithium-ion battery packs, high-performance batteries, high capacity battery packs, electrical equipment and components, defense and military, battery performance optimization, energy storage solutions, global r&d centers, product development, consumer electronics, custom battery solutions, battery testing & certification, military battery systems, battery certification, global manufacturing, supply chain management, battery safety & reliability, battery management system, stationary power solutions, motive power batteries, advanced battery systems, battery packs, custom battery packs, standard battery packs, smart chargers, li-ion batteries, backup power, high efficiency chargers, reliable power supplies, battery technology, energy density, battery certifications, critical power applications, data capture solutions, medical power solutions, military power systems, industrial batteries, consumer electronics batteries, ruggedized power supplies, battery testing, sourcing and supply chain, global engineering, battery design, portable power solutions, intelligent charging, multi-bay chargers, docking stations, consumer markets, safe battery technology, hev batteries, smart battery technology, patented battery solutions, battery reliability, energy storage systems, battery optimization, high power applications, environmentally safe batteries, superior battery performance, power tool batteries, low voltage battery packs, 3d battery design, pluggable power supplies, wireless charging systems, dynamic charging technologies, electronic device integration, broad market applications, healthcare, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, clean energy & technology, environmental services, renewables & environment, hospital & health care, consumers, hardware, logistics & supply chain, health care, health, wellness & fitness",'+1 630-410-7900,812000000,3691,33591,1960,
PT.Trimitra Baterai Prakasa,220,,http://www.trimitra-baterai.co.id,http://www.linkedin.com/company/pt-trimitra-baterai-prakasa,,,Jalan 3,North Jakarta,Jakarta,Indonesia,14130,"Jalan 3, North Jakarta, Jakarta, Indonesia, 14130","b2b, high-quality batteries, battery production, marine battery, battery design, marine application batteries, battery assembly automation, battery durability, battery innovation, low maintenance batteries, environmentally friendly batteries, battery standards, automatic casting, expanded grid design, heat tolerance, marine deep cycle batteries, manufacturing, automotive battery, eco-friendly battery manufacturing, sealed maintenance free batteries, conventional dry charged batteries, automotive batteries, laser coding, corrosion resistance, battery manufacturing, hybrid batteries, battery life cycle optimization, battery quality control, distribution, flame retardant batteries, low self-discharge batteries, deep cycle batteries, battery performance, battery testing, vibration resistant batteries, battery safety features, hybrid lead-acid batteries, heavy-duty batteries, lead acid batteries, marine batteries, advanced production technology, battery assembly, advanced lead alloy, mechanical or industrial engineering",'+62 21 4403066,,3691,33591,,
Gold Peak Technology Group,6600,electrical/electronic manufacturing,http://www.goldpeak.com,http://www.linkedin.com/company/goldpeak,,,9 Science Park West Ave,,New Territories,Hong Kong,,"9 Science Park West Ave, New Territories, Hong Kong","appliances, electrical, & electronics manufacturing, innovation, zero waste to landfill, risk management, r&d innovation, nickel-based batteries, acoustic products, d2c, battery production, high-fidelity sound, regulatory compliance, carbon reduction, celestion professional speakers, sustainability, global manufacturing, distribution, audio technology, consumer electronics, sustainable manufacturing, manufacturing, rechargeable batteries, b2b, e-commerce, energy storage applications, sustainable practices, global distribution, product design, product innovation, kef immersive audio, b2b energy solutions, government, sustainable energy, advanced acoustic technologies, recycling initiatives, battery manufacturing, recycling, energy transition, celestion speakers, sustainable development, circular economy, energy solutions, corporate sustainability, kef audio, energy storage, paper packaging, sustainable packaging, energy infrastructure, battery r&d, b2c, esg practices, retail, rechargeable battery technology, audio engineering, net-zero ambitions, nickel zinc batteries, services, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, consumers, hardware, consumer internet, internet, information technology & services, oil & energy",,880757000,3699,33591,1964,
AUTOPART SA,67,automotive,http://www.autopart.pl,http://www.linkedin.com/company/autopart-sa,,,2A aleja Eugeniusza Kwiatkowskiego,,Podkarpackie Voivodeship,Poland,39-300,"2A aleja Eugeniusza Kwiatkowskiego, Podkarpackie Voivodeship, Poland, 39-300","battery production, recycling, reasearch, development, motor vehicle manufacturing, battery export, battery performance, power grid stabilization, battery supply chain, battery distribution, high capacity batteries, uninterruptible power supplies (ups), e-commerce, agricultural machinery batteries, battery safety standards, renewable energy storage, battery manufacturing, energy storage systems, energy storage, industrial energy storage, government, battery quality control, battery industry, low self-discharge batteries, fast charging batteries, battery solutions, battery market, battery for campers, battery innovation, distribution, battery for electric vehicles, battery standards, b2b, electric vehicle batteries, high cycle life batteries, energy management systems, manufacturing, battery durability, battery recycling processes, high-quality batteries, battery for trucks, battery for machinery, energy efficiency, emergency power supplies, bipolar batteries, start-stop batteries, smart grid batteries, automotive batteries, hybrid energy systems, off-grid power solutions, microgrid energy management, battery environmental impact, battery design, battery technology, deep discharge batteries, long-life batteries, lithium-free batteries, automotive, recycling and environmental protection, energy & utilities, photovoltaic energy integration, automotive industry, battery lifecycle, battery safety, advanced battery materials, consumer internet, consumers, internet, information technology & services, oil & energy, mechanical or industrial engineering, environmental services, renewables & environment",'+48 17 584 57 30,,3691,33591,1982,
Baterias Erbs,170,automotive,http://www.erbs.com.br,http://www.linkedin.com/company/baterias-erbs,,,2 Travessa Pedras Grandes,Laguna,Santa Catarina,Brazil,88790-000,"2 Travessa Pedras Grandes, Laguna, Santa Catarina, Brazil, 88790-000","baterias de motos, baterias automotivas, baterias nauticas, baterias estacionarias, motor vehicle manufacturing, produção no brasil, baterias para som automotivo, baterias náutica, baterias estacionárias, reconhecimento no mercado, manufacturing, produtos duráveis, materiais de primeira qualidade, baterias náuticas, baterias estacionárias para nobreak, distribution, tecnologia de fabricação de baterias, baterias pesadas, alta qualidade, mais de 30 anos de experiência, produção brasileira, energy storage, reciclagem de baterias, uso de tecnologia avançada, tecnologia de produção, battery manufacturing, customer relationship management, automotive, tecnologia avançada, baterias para motos, materiais de alta qualidade, energia confiável, produtos sustentáveis de energia, energy management, gestão ambiental, b2b, empresa sustentável, produção de baterias, reciclagem de 100%, renewable energy, baterias para nobreak, desempenho de baterias, satisfação do cliente, produtos confiáveis, baterias para som, sustentabilidade, reciclagem de baterias automotivas, empresa de baterias no brasil, seleção de matérias-primas, qualidade de baterias, linha de produtos diversificada, empresa com mais de 30 anos, energia do brasil, fabricação de baterias, baterias para veículos leves, fábrica moderna, baterias para veículos pesados, mechanical or industrial engineering, oil & energy, crm, sales, enterprise software, enterprises, computer software, information technology & services, clean energy & technology, environmental services, renewables & environment",,,3691,33591,1987,
Amara Raja Group,8000,mechanical or industrial engineering,http://www.amararaja.com,http://www.linkedin.com/company/amararaja,https://facebook.com/AmaraRajaGrp/,https://twitter.com/AmaraRaja_Group,14 Nanakramguda Main Road,Hyderabad,Telangana,India,500032,"14 Nanakramguda Main Road, Hyderabad, Telangana, India, 500032","automotive, power systems, manufacturing, foods, infrastructure, facility management, electronics, media, metal fabrication, energy, mobility, food & beverage products, media & entertainment, electric vehicle batteries, renewable energy storage, logistics & distribution, food processing, product development, energy storage solutions, power control products, electronics manufacturing, fasteners & metal fabrication, energy storage, b2c, li-ion battery packs, construction & real estate, innovation & r&d, rural development initiatives, rural entrepreneurship, smart infrastructure, renewable energy, food & beverage, ev chargers, customer service, plastic components, services, environmental sustainability, lithium-ion batteries, industrial power solutions, industrial batteries, innovation, industrial services, technology leadership, social impact, corporate social responsibility, infrastructure development, sustainability, media content production, global presence, e-commerce, automotive oem supplies, energy & utilities, d2c, b2b, smart grid solutions, sustainable growth, supply chain management, battery manufacturing, green energy solutions, media content creation, government, retail, customer solutions, lead-acid batteries, automotive batteries, energy & mobility, energy solutions, lithium-ion cells, battery pack assembly, telecom batteries, ac power products, automotive lubricants, ups systems, defense applications, battery customization, solar battery solutions, telecom power solutions, oem automotive batteries, private label batteries, exports battery, automotive aftermarket, motive power batteries, railway battery solutions, advanced cell technology, engineering design, aerospace battery, battery management systems, precision components, packaging solutions, media and entertainment, employee engagement, rural development, health and nutrition, skills development, women empowerment, agriculture initiatives, job creation programs, entrepreneurship support, community impact, technology innovation, employee value proposition, integrated energy solutions, education, non-profit, distribution, transportation & logistics, mechanical or industrial engineering, computer hardware, hardware, food & beverages, consumer goods, consumers, oil & energy, clean energy & technology, environmental services, renewables & environment, consumer internet, internet, information technology & services, logistics & supply chain, nonprofit organization management",'+91 40231 39000,1264068000,3691,33591,1985,
Panasonic Energy Corporation of North America,1200,renewables & environment,,http://www.linkedin.com/company/panasonicenergycorpna,https://www.facebook.com/Panasonic,,1 Electric Avenue,Sparks,Nevada,United States,89434,"1 Electric Avenue, Sparks, Nevada, United States, 89434","lithiumion batteries, batteries, engineering, battery production, manufacturing, environment, human resources, production engineer, mechanical engineer, renewable energy, information technology, recruitment, energy, sustainability, services for renewable energy, hardware, mechanical or industrial engineering, clean energy & technology, environmental services, renewables & environment",,,,,2016,
